,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster
382,5,3,1,1,1,1,1,3,1,1,1,1,1
383,1,3,1,1,1,1,1,6,1,1,1,1,2
384,2,2,1,1,1,1,1,4,1,1,1,1,2
385,4,3,1,1,1,1,1,4,1,1,1,1,2
386,5,2,1,1,1,1,1,5,1,1,1,1,1
387,1,2,1,1,1,1,2,2,1,1,1,1,2
388,2,2,4,1,1,1,2,11,1,1,1,1,2
389,4,3,1,1,1,1,1,6,1,1,1,1,2
390,5,2,1,1,1,1,1,3,1,1,1,1,1
391,1,3,1,1,1,1,1,3,1,1,1,1,2
392,2,2,1,1,1,1,2,4,1,1,1,1,2
393,3,3,1,1,1,1,1,6,1,1,1,1,2
394,4,3,1,1,1,1,1,7,1,1,1,1,2
395,5,1,1,1,1,1,1,1,1,1,1,1,1
396,1,3,1,1,1,1,2,4,1,1,1,1,2
397,2,3,1,1,1,1,1,1,1,1,1,1,2
398,3,2,1,1,1,2,1,6,1,1,1,1,2
399,4,2,1,1,1,1,2,6,1,1,1,1,2
400,5,2,1,1,1,1,1,6,1,1,1,1,2
401,1,2,1,1,1,1,1,6,1,1,1,1,2
402,2,3,1,1,1,1,1,2,1,1,1,1,2
403,3,3,1,1,1,1,1,8,1,1,1,1,2
404,4,2,1,1,1,2,2,1,1,1,1,1,1
405,5,2,1,1,1,1,2,3,1,1,1,1,1
406,1,3,1,1,1,1,1,4,1,1,1,1,2
407,2,3,1,1,1,1,1,2,1,1,1,1,2
408,3,3,1,1,1,1,1,5,1,1,1,1,2
409,4,3,1,1,1,1,1,3,1,1,1,1,2
410,1,3,1,1,1,2,1,3,1,1,1,1,2
411,2,3,1,1,1,1,1,3,1,1,1,1,2
412,3,3,1,1,1,1,1,12,1,1,1,1,2
413,4,2,1,1,1,1,2,11,2,2,1,1,2
414,5,3,1,1,1,1,1,2,1,1,1,1,1
415,1,2,1,1,1,1,1,7,1,1,1,1,2
416,3,3,1,1,1,2,2,1,1,1,1,1,2
417,4,2,1,1,1,1,1,5,1,1,1,1,2
418,5,2,1,1,1,1,1,4,1,1,1,1,1
419,1,2,1,1,1,1,1,6,1,1,1,1,2
420,2,3,1,1,1,1,1,6,1,1,1,1,2
421,3,2,1,1,1,2,2,4,1,1,1,1,2
422,5,2,1,1,1,1,1,7,1,1,1,1,2
423,1,3,1,1,1,1,1,4,1,1,1,1,2
424,2,3,1,1,1,1,1,1,1,1,1,1,2
425,3,3,1,1,1,1,2,4,1,1,1,1,2
426,4,3,1,1,1,1,1,9,1,1,1,1,2
427,5,2,1,1,1,1,1,4,1,1,1,1,1
428,1,3,1,1,1,1,1,8,1,1,1,1,2
429,3,3,1,1,1,1,1,2,1,1,1,1,2
430,4,3,1,1,1,1,1,4,1,1,1,1,2
431,5,2,1,1,1,1,1,1,1,1,1,1,1
432,1,3,1,1,1,1,2,3,1,1,1,1,2
433,2,3,1,1,1,1,1,4,1,1,1,1,2
434,3,3,1,1,1,1,1,3,1,1,1,1,2
435,4,3,1,1,1,1,1,4,1,1,1,1,2
436,5,2,1,1,1,2,2,1,1,1,1,1,1
437,1,3,1,1,1,1,1,2,1,1,1,1,2
438,3,3,1,1,1,1,1,4,1,1,1,1,2
439,4,3,1,1,1,1,1,4,1,1,1,1,2
440,5,3,1,1,1,1,1,2,1,1,1,1,1
441,1,3,1,1,1,1,1,3,1,1,1,1,2
442,4,3,1,1,1,1,1,4,1,1,1,1,2
443,5,3,1,1,1,1,1,2,1,1,1,1,1
444,1,3,1,1,1,1,1,1,1,1,1,1,2
445,2,3,1,1,1,1,1,7,1,1,1,1,2
446,3,3,1,1,1,1,1,2,1,1,1,1,2
447,4,3,1,1,1,1,1,3,1,1,1,1,2
448,5,3,1,1,1,1,1,4,1,1,1,1,1
449,1,3,1,1,1,1,1,2,1,1,1,1,2
450,3,3,1,1,1,1,1,1,1,1,1,1,1
451,4,3,1,1,1,1,1,4,1,1,1,1,2
452,5,3,1,1,1,1,1,5,1,1,1,1,2
453,1,3,1,1,1,1,1,1,1,1,1,1,2
454,2,3,1,1,1,1,1,6,1,1,1,1,2
455,3,3,1,1,1,1,1,7,1,1,1,1,2
456,4,3,1,1,1,1,1,2,1,1,1,1,1
457,5,3,1,1,1,1,2,9,1,1,1,1,2
458,3,3,1,1,1,1,1,5,1,1,1,1,2
459,4,3,1,1,1,1,1,7,1,1,1,1,2
460,5,3,1,1,1,1,1,4,1,1,1,1,1
461,1,3,1,1,1,1,1,3,1,1,1,1,2
462,2,3,1,1,1,1,1,5,1,1,1,1,2
463,3,3,1,1,1,1,1,2,1,1,1,1,2
464,4,3,1,1,1,1,1,4,1,1,1,1,2
465,5,3,1,1,1,1,1,3,1,1,1,1,1
466,1,2,1,1,1,1,1,5,1,1,1,1,2
467,2,2,2,1,1,1,1,5,1,1,1,1,2
468,3,3,1,1,1,1,1,6,1,1,1,1,2
469,4,2,2,1,1,1,2,4,1,1,1,1,2
470,5,2,1,1,1,1,1,6,2,2,1,1,2
471,1,2,1,1,1,1,1,7,2,2,1,1,2
472,2,2,1,1,1,1,1,7,2,3,1,1,2
473,3,3,1,1,1,1,1,5,1,1,1,1,2
474,4,2,1,1,1,1,1,4,1,1,1,1,2
475,5,3,1,1,1,2,1,3,1,1,1,1,1
476,1,3,1,1,1,1,1,3,1,1,1,1,2
477,2,3,1,1,1,1,1,4,1,1,1,1,2
478,3,3,1,1,1,1,1,4,1,1,1,1,2
479,4,3,1,1,1,1,1,4,1,1,1,1,2
480,5,3,1,1,1,1,1,4,1,1,1,1,1
481,1,3,1,1,1,1,1,5,1,1,1,1,2
482,2,3,1,1,1,1,1,6,1,1,1,1,2
483,3,3,1,1,1,1,1,3,1,1,1,1,2
